Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
2026,43382.24,14.79,66.75,Ext,17,0.979,7.619,24
2035,43534.57,8.78,56.5,Ext,5,1.859,12.305,24
2036,43534.59,8.8,124,Ext,10,2.153,7.567,24
2044,43675.21,8.88,63,Ext,13,0.881,2.383,24
2219,46950.36,17.63,43.75,Int,15,1.174,4.006,24
2232,47183.29,11.8,87,Ext,17,1.468,6.362,24
2246,47434.43,12.96,7,Int,13,0.783,2.828,24
2267,47825.46,5.75,46.75,Int,14,0.587,2.645,24
2280,48042.88,2.28,124.5,Ext,9,2.739,6.336,24
2281,48043.49,2.89,117.5,Ext,17,2.446,5.446,24
2282,48044.31,3.71,125,Ext,8,0.294,1.309,24
2283,48044.56,3.95,135.75,Ext,15,1.37,1.833,24
2284,48046.34,5.74,130,Ext,14,3.033,2.383,24
2285,48046.8,6.2,137.5,Ext,15,1.468,2.383,24
2286,48046.84,6.24,113.25,Ext,6,1.174,2.121,24
2287,48047.43,6.82,129,Ext,9,1.957,1.912,24
2288,48048.87,8.27,129.5,Ext,6,1.174,4.189,24
2289,48049.83,9.23,122.75,Ext,9,1.077,3.43,24
2290,48057.11,16.51,72,Ext,14,0.49,2.121,24
2293,48085.25,4.78,57,Ext,15,5.674,5.184,24
2294,48086.68,6.2,54.75,Ext,13,3.522,6.048,24
2295,48089.27,8.8,53,Ext,12,3.424,5.786,24
2296,48091.48,11,47.25,Ext,7,0.783,2.618,24
2298,48116.91,16.43,113.75,Ext,15,0.294,1.048,24
2299,48118.97,18.49,91,Ext,4,0.49,2.959,24
2305,48200.98,0.18,103.25,Ext,28,0.587,1.65,24
2315,48384.57,2.95,140,Ext,14,0.392,0.838,24
2352,49114.17,14.69,16.25,Ext,10,0.783,2.959,24
2379,49638.24,19.65,77,Ext,12,0.49,2.095,24
2390,49839.34,19.85,117.25,Ext,16,0.294,1.519,24
2466,51223.28,0.2,141.5,Ext,19,0.49,1.545,24
2499,51872.02,5.81,81.75,Int,13,0.294,0.943,24
2500,51878.11,11.9,82.75,Int,10,0.196,0.864,24
2501,51878.45,12.25,83,Int,15,0.294,1.336,24
2502,51878.8,12.59,85.5,Int,17,0.294,0.786,24
2503,51879.09,12.88,78,Int,18,0.294,0.655,24
2512,52020.26,5.56,116,Ext,15,1.468,4.687,24
2666,55643.56,21.17,97.5,Ext,10,0.587,6.545,24
2743,58301.34,1.01,97.5,Ext,15,1.468,12.593,24
