joint_no,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
8130,29100.65,17.01,45.0144,Ext,10,1.858,1.859,24
8500,29833.25,16.58,71.2728,Ext,12,1.662,2.357,24
8510,29837.16,0.38,56.268,Ext,38,0.88,0.812,24
8510,29837.66,0.89,56.268,Ext,32,0.88,0.812,24
8630,30078.17,0.38,71.2728,Ext,28,0.782,0.838,24
8630,30078.66,0.89,71.2728,Ext,37,1.271,0.812,24
8740,30302.22,7.65,37.512,Ext,13,0.587,0.838,24
8760,30342.69,7.92,30.0096,Ext,10,2.542,3.43,24
8760,30349.08,14.25,30.0096,Ext,12,1.662,2.618,24
8870,30545.34,4.87,97.5312,Ext,16,5.181,18.196,24
9030,30864.23,1.95,157.5504,Ext,25,1.076,0.812,24
9030,30864.87,2.61,157.5504,Ext,24,1.173,0.812,24
9030,30865.31,3.04,157.5504,Ext,27,1.173,0.812,24
9050,30904.3,1.92,157.5504,Int,27,1.369,0.838,24
9050,30906.51,4.14,157.5504,Int,23,0.978,0.995,24
9050,30909.84,7.47,157.5504,Int,19,0.782,1.1,24
9070,30945.03,2.43,157.5504,Int,15,0.88,0.786,24
9070,30945.75,3.12,157.5504,Int,17,1.173,0.864,24
9070,30946.62,4.02,157.5504,Int,18,0.782,1.048,24
9150,31121.47,18.06,135.0432,Ext,10,1.662,2.304,24
9200,31210.75,7,86.2776,Ext,23,8.602,17.567,24
9590,31996.94,10.57,150.048,Ext,14,1.173,1.309,24
10120,33058.97,19.07,101.2824,Ext,23,3.226,5.263,24
11030,34861.51,17.93,45.0144,Ext,20,1.858,1.336,24
11030,34862.19,18.63,45.0144,Ext,21,1.662,1.048,24
11150,35084.62,12.11,97.5312,Ext,12,1.467,1.309,24
11660,36109.36,10.54,75.024,Ext,20,2.737,6.833,24
11700,36192.47,13.2,172.5552,Int,12,0.685,0.943,24
11850,36487.1,8.11,18.756,Ext,20,1.271,0.838,24
11850,36493.51,14.53,15.0048,Ext,12,1.271,1.336,24
12080,36930.24,8.88,86.2776,Ext,24,3.813,3.168,24
12260,37293.68,10.42,97.5312,Ext,12,2.737,5.263,24
12360,37481.82,13.13,67.5216,Ext,12,0.88,1.1,24
12360,37481.88,13.2,78.7752,Ext,12,1.662,6.598,24
12360,37482.09,13.4,75.024,Ext,10,0.782,2.566,24
12480,37716.43,6.26,165.0528,Int,16,0.587,0.812,24
12500,37759.38,9.17,108.7848,Ext,19,3.519,6.65,24
12540,37842.81,11.93,97.5312,Ext,10,1.564,4.215,24
12670,38091.13,1.34,161.3016,Ext,27,2.737,3.194,24
12680,38118.69,8.83,82.5264,Ext,12,2.053,9.19,24
12680,38119,9.11,78.7752,Ext,16,1.467,5.76,24
12690,38131.09,1.05,157.5504,Int,24,2.444,3.194,24
12720,38193.93,3.49,161.3016,Int,10,1.369,1.597,24
12860,38484.65,12.34,120.0384,Ext,10,1.271,2.226,24
13020,38812.75,18,48.7656,Int,13,1.369,1.022,24
13130,39036.01,19.91,176.3064,Ext,10,0.685,4.53,24
13430,39625.73,5.12,93.78,Int,14,1.467,2.906,24
13510,39795.04,13.22,78.7752,Int,10,1.467,1.65,24
13510,39796.2,14.38,82.5264,Int,14,1.662,1.048,24
13510,39797.5,15.68,93.78,Int,16,1.467,1.1,24
13560,39899.53,16.79,97.5312,Ext,16,0.587,0.838,24
13650,40065.83,1.52,116.2872,Ext,15,1.858,1.022,24
13650,40067.89,3.59,97.5312,Ext,13,1.76,1.074,24
13850,40469.9,1.8,7.5024,Int,10,1.271,1.44,24
13930,40636.47,6.77,78.7752,Int,13,1.076,1.1,24
14050,40886.89,15.13,90.0288,Ext,17,0.685,0.838,24
14110,41009.42,16.8,101.2824,Ext,10,2.346,4.215,24
14110,41009.67,17.07,112.536,Ext,26,1.564,4.477,24
14130,41041.17,8.15,116.2872,Ext,11,1.955,8.404,24
14320,41424.19,17.44,86.2776,Ext,14,2.444,3.43,24
14320,41424.56,17.72,90.0288,Ext,15,0.685,0.734,24
14440,41641.2,4.42,41.2632,Ext,20,0.978,1.1,24
14440,41653.9,17.11,86.2776,Ext,20,1.564,5.001,24
14560,41882.47,3.63,56.268,Ext,16,1.662,0.786,24
